Variable_Name	a0	a1	a2	a3	MSE	DOF	T-Value	95%_CI	Std. Error	Repeat Err.	Meas. Err.	K-Multiplier	Threshold	
ID_Xitron_Amps	1.84E+000	6.72E-003	-4.20E-003	1.14E-003	3.31E-006	1.70E+001	2.11E+000	3.84E-003	0.001819	1	0.8	2	2.561	Threshold ONLY GOOD FOR TEMPERATURE VARIABLES
ID_Xitron_Watts	1.85E+002	4.15E+000	-8.72E-001	4.11E-001	1.25E-001	1.70E+001	2.11E+000	7.46E-001	0.353611	1	0.8	2	2.657	
OD_Xitron_Amps	3.56E+000	-7.12E-002	-2.72E-002	1.63E-001	3.54E-004	1.70E+001	2.11E+000	3.97E-002	0.018824	1	0.8	2	2.562	
OD_Xitron_Watts	1.35E+003	-2.32E+001	-2.55E+000	3.62E+001	1.52E+001	1.70E+001	2.11E+000	8.23E+000	3.902083	1	0.8	2	8.214	
1500_ODLiqSV_TempF	1.42E+002	-1.45E+000	3.45E-001	6.99E-001	7.68E-003	1.70E+001	2.11E+000	1.85E-001	0.087610	1	0.8	2	2.567	
1510_ODVapSV_TempF	1.77E+002	3.53E-001	-1.11E+000	-4.56E-001	5.97E-002	1.70E+001	2.11E+000	5.15E-001	0.244299	1	0.8	2	2.607	
1526_Coriolis_IDSide_TempF	1.75E+002	-1.32E+000	-8.82E-002	5.89E-001	1.30E-002	1.70E+001	2.11E+000	2.41E-001	0.114082	1	0.8	2	2.571	
1527_Coriolis_ODSide_TempF	1.65E+002	-1.57E+000	2.36E-001	6.54E-001	1.14E-002	1.70E+001	2.11E+000	2.25E-001	0.106551	1	0.8	2	2.570	
1600_IDVap_TempF	1.46E+002	6.43E-001	-1.02E+000	-4.85E-001	1.12E-001	1.70E+001	2.11E+000	7.07E-001	0.335300	1	0.8	2	2.648	
1601_IDLiq_TempF	1.79E+002	-1.19E+000	-2.33E-001	5.44E-001	1.56E-002	1.70E+001	2.11E+000	2.64E-001	0.125092	1	0.8	2	2.573	
1602_ID2phase_Cool#1_TempF	2.59E+001	2.40E-002	5.73E-001	-4.74E-002	1.70E-003	1.70E+001	2.11E+000	8.70E-002	0.041221	1	0.8	2	2.563	
1603_ID2Phase_Cool#2_TempF	2.61E+001	-4.92E-002	6.19E-001	-1.93E-002	1.58E-003	1.70E+001	2.11E+000	8.38E-002	0.039709	1	0.8	2	2.562	
1608_CompSuct_TempF	1.52E+002	5.44E-001	-1.15E+000	-2.95E-001	5.02E-002	1.70E+001	2.11E+000	4.73E-001	0.223958	1	0.8	2	2.600	
1612_OD2PhaseHeat_F	1.20E+002	-1.47E+000	7.31E-001	7.28E-001	4.09E-003	1.70E+001	2.11E+000	1.35E-001	0.063944	1	0.8	2	2.564	
1617_CompDisch_TempF	3.39E+002	1.13E+000	-4.12E+000	4.32E-001	1.79E-001	1.70E+001	2.11E+000	8.93E-001	0.423177	1	0.8	2	2.697	
