Variable_Name	a0	a1	a2	a3	MSE	DOF	T-Value	95%_CI
ID_Xitron_Amps	1.844843E+0	6.720419E-3	-4.201233E-3	1.144296E-3	3.310291E-6	1.700000E+1	2.109816E+0	3.838642E-3
ID_Xitron_Watts	1.847303E+2	4.147722E+0	-8.716600E-1	4.107248E-1	1.250405E-1	1.700000E+1	2.109816E+0	7.460531E-1
OD_Xitron_Amps	3.559474E+0	-7.120810E-2	-2.715396E-2	1.634119E-1	3.543375E-4	1.700000E+1	2.109816E+0	3.971486E-2
OD_Xitron_Watts	1.352256E+3	-2.320780E+1	-2.554202E+0	3.621790E+1	1.522625E+1	1.700000E+1	2.109816E+0	8.232675E+0
1500_ODLiqSV_TempF	1.421453E+2	-1.445739E+0	3.447224E-1	6.988197E-1	7.675591E-3	1.700000E+1	2.109816E+0	1.848419E-1
1510_ODVapSV_TempF	1.771822E+2	3.526887E-1	-1.105363E+0	-4.558995E-1	5.968208E-2	1.700000E+1	2.109816E+0	5.154262E-1
1526_Coriolis_IDSide_TempF	1.752829E+2	-1.322770E+0	-8.821966E-2	5.885606E-1	1.301476E-2	1.700000E+1	2.109816E+0	2.406925E-1
1527_Coriolis_ODSide_TempF	1.650854E+2	-1.565303E+0	2.355661E-1	6.542041E-1	1.135314E-2	1.700000E+1	2.109816E+0	2.248032E-1
1600_IDVap_TempF	1.457619E+2	6.428017E-1	-1.017388E+0	-4.851710E-1	1.124259E-1	1.700000E+1	2.109816E+0	7.074206E-1
1601_IDLiq_TempF	1.792779E+2	-1.194046E+0	-2.327395E-1	5.440338E-1	1.564798E-2	1.700000E+1	2.109816E+0	2.639208E-1
1602_ID2phase_Cool#1_TempF	2.588990E+1	2.397976E-2	5.731748E-1	-4.735205E-2	1.699212E-3	1.700000E+1	2.109816E+0	8.696977E-2
1603_ID2Phase_Cool#2_TempF	2.606071E+1	-4.920244E-2	6.187247E-1	-1.933218E-2	1.576787E-3	1.700000E+1	2.109816E+0	8.377819E-2
1608_CompSuct_TempF	1.521083E+2	5.437925E-1	-1.147918E+0	-2.946142E-1	5.015714E-2	1.700000E+1	2.109816E+0	4.725099E-1
1612_OD2PhaseHeat_F	1.201706E+2	-1.470996E+0	7.305215E-1	7.284290E-1	4.088772E-3	1.700000E+1	2.109816E+0	1.349090E-1
1617_CompDisch_TempF	3.394729E+2	1.132129E+0	-4.118009E+0	4.322950E-1	1.790790E-1	1.700000E+1	2.109816E+0	8.928261E-1
1618_ID2Phase_Heat#2_F	-1.231429E+2	3.374547E+0	-8.688227E-1	-3.028777E-1	1.309374E-1	1.700000E+1	2.109816E+0	7.634426E-1
1622_OD2PhaseCool_F	1.159960E+2	-7.042186E-1	-7.160503E-2	7.247652E-1	3.860290E-3	1.700000E+1	2.109816E+0	1.310854E-1
1630_ID2Phase_Heat#1_F	1.082097E+2	-1.537383E+0	9.733965E-1	1.415992E-1	9.988484E-2	1.700000E+1	2.109816E+0	6.667980E-1
1701_ODVapSV_psia	5.821708E+1	5.812439E-1	1.267500E+0	-7.348470E-2	2.287579E-2	1.700000E+1	2.109816E+0	3.191042E-1
1702_ODLiqSV_psia	4.097411E+2	-3.855689E+0	-1.934466E+0	4.927888E+0	2.242525E-1	1.700000E+1	2.109816E+0	9.991096E-1
1707_IDVap_psia	5.102273E+1	5.821294E-1	1.354169E+0	-5.937113E-2	2.036596E-2	1.700000E+1	2.109816E+0	3.010904E-1
1710_ODSuctPort_psia	4.705509E+1	4.473411E-1	1.440515E+0	-8.370669E-3	1.223339E-2	1.700000E+1	2.109816E+0	2.333554E-1
1712_RotoMass_Massflow_lb/min	9.840004E+0	-3.303243E-14	-3.278018E-15	1.765781E-14	0.000000E+0	1.700000E+1	2.109816E+0	0.000000E+0
1713_RotoMass_Density_lbm/ft3	7.000043E+1	-1.970252E-3	5.819139E-4	-1.468419E-4	5.176917E-8	1.700000E+1	2.109816E+0	4.800429E-4
1724_IDLiq_psia	4.117855E+2	-4.065062E+0	-1.844146E+0	4.947583E+0	2.125322E-1	1.700000E+1	2.109816E+0	9.726506E-1
2219_NozTemp#1_F	5.833680E+1	8.918997E-2	2.088493E-1	-6.151934E-2	1.027316E-3	1.700000E+1	2.109816E+0	6.762332E-2
2220_NozTemp#2_F	5.006453E+1	1.339307E-1	2.430449E-1	-4.395111E-2	8.093327E-4	1.700000E+1	2.109816E+0	6.002167E-2
Exit TC Grid AVG Temp (F)	5.663782E+1	3.056806E-1	-5.351205E-3	-8.448184E-2	1.439281E-3	1.700000E+1	2.109816E+0	8.004189E-2
TC Grid  DT Temp (F)	-5.843806E+1	6.943237E-1	5.349078E-3	8.448214E-2	1.439269E-3	1.700000E+1	2.109816E+0	8.004155E-2
AVG Nozzle Temp (F)	5.420072E+1	1.115597E-1	2.259473E-1	-5.273533E-2	8.587545E-4	1.700000E+1	2.109816E+0	6.182712E-2
AVG Noz DP (in H2O)	2.202784E-1	-3.270626E-3	1.250119E-2	2.281258E-3	2.017572E-5	1.700000E+1	2.109816E+0	9.476741E-3
Unit ESP (in H2O)	1.240073E+0	-2.294828E-2	1.540711E-2	-1.080839E-3	3.177474E-5	1.700000E+1	2.109816E+0	1.189284E-2
Indoor Unit SCFM	7.772243E+2	-1.839918E+0	6.652783E+0	1.367845E+0	6.495505E+0	1.700000E+1	2.109816E+0	5.377135E+0
Indoor Unit CFM	7.328827E+2	-1.835497E+0	7.722848E+0	1.270101E+0	6.943615E+0	1.700000E+1	2.109816E+0	5.559520E+0
Sensible Capacity (Btu/h)	-9.161709E+4	9.572742E+2	1.490481E+2	1.312740E+2	1.245765E+3	1.700000E+1	2.109816E+0	7.446678E+1
Latent Capacity (Btu/h)	-8.957121E+4	5.932173E+1	1.573383E+3	-7.530459E+1	9.105311E+3	1.700000E+1	2.109816E+0	2.013223E+2
TOTAL Capacity (Btu/h)	-1.811883E+5	1.016596E+3	1.722431E+3	5.596939E+1	9.260908E+3	1.700000E+1	2.109816E+0	2.030352E+2
SHR	1.735299E-2	1.379948E-2	-1.530144E-2	3.023308E-3	1.902002E-6	1.700000E+1	2.109816E+0	2.909712E-3
ODVapSV_Suph_F	1.594634E+2	1.576712E-1	-1.528396E+0	-4.310914E-1	6.530676E-2	1.700000E+1	2.109816E+0	5.391673E-1
ODVapSV_Tsat_F	1.771889E+1	1.950147E-1	4.230353E-1	-2.480818E-2	2.576794E-3	1.700000E+1	2.109816E+0	1.070987E-1
ODLiqSV_Tsat_F	1.221772E+2	-6.163474E-1	-3.592881E-1	7.718887E-1	5.562600E-3	1.700000E+1	2.109816E+0	1.573560E-1
ODLiqSV_Tsub_F	-1.996806E+1	8.293897E-1	-7.040095E-1	7.306896E-2	4.396901E-3	1.700000E+1	2.109816E+0	1.399000E-1
1612_OD2phase_Heating_F	1.201706E+2	-1.470996E+0	7.305215E-1	7.284290E-1	4.088772E-3	1.700000E+1	2.109816E+0	1.349090E-1
1622_OD2phase_Cooling_F	1.159960E+2	-7.042186E-1	-7.160503E-2	7.247652E-1	3.860290E-3	1.700000E+1	2.109816E+0	1.310854E-1
1710_CompSuct_psia	4.705509E+1	4.473411E-1	1.440515E+0	-8.370669E-3	1.223339E-2	1.700000E+1	2.109816E+0	2.333554E-1
CompSuct_TempF	1.521083E+2	5.437925E-1	-1.147918E+0	-2.946142E-1	5.015714E-2	1.700000E+1	2.109816E+0	4.725099E-1
CompSuct_Suph_F	1.386506E+2	3.918848E-1	-1.633954E+0	-2.916642E-1	4.943105E-2	1.700000E+1	2.109816E+0	4.690773E-1
CompSuct_Tsat_F	1.345708E+1	1.519177E-1	4.860312E-1	-2.949617E-3	1.406472E-3	1.700000E+1	2.109816E+0	7.912433E-2
CompDisch_psia	4.097411E+2	-3.855689E+0	-1.934466E+0	4.927888E+0	2.242525E-1	1.700000E+1	2.109816E+0	9.991096E-1
1617_CompDisch_TempF	3.394729E+2	1.132129E+0	-4.118009E+0	4.322950E-1	1.790790E-1	1.700000E+1	2.109816E+0	8.928261E-1
CompDisch_Suph_F	2.170305E+2	1.746970E+0	-3.759022E+0	-3.375262E-1	1.442835E-1	1.700000E+1	2.109816E+0	8.014064E-1
CompDisch_Tsat_F	1.224427E+2	-6.148454E-1	-3.589842E-1	7.698209E-1	5.533582E-3	1.700000E+1	2.109816E+0	1.569451E-1
Refrig-Side Capacity_Btu/h	5.522442E+4	4.728930E+2	-3.541729E+2	-2.876457E+2	2.423656E+3	1.700000E+1	2.109816E+0	1.038676E+2
IDLiq@TXV_Tsat_F	1.224890E+2	-6.562655E-1	-3.501007E-1	7.832601E-1	5.385418E-3	1.700000E+1	2.109816E+0	1.548297E-1
IDLiq@TXV_Tsub_F	-5.678900E+1	5.377831E-1	-1.173626E-1	2.392263E-1	4.667243E-3	1.700000E+1	2.109816E+0	1.441367E-1
IDVap_Suph_F	1.303020E+2	4.482194E-1	-1.468135E+0	-4.651420E-1	1.333288E-1	1.700000E+1	2.109816E+0	7.703826E-1
IDVap_Tsat_F	1.546024E+1	1.945769E-1	4.507488E-1	-2.002943E-2	2.279661E-3	1.700000E+1	2.109816E+0	1.007348E-1
CoriolisLiq_ID#1_Tsub_F	-5.279376E+1	6.665033E-1	-2.618807E-1	1.946992E-1	4.230178E-3	1.700000E+1	2.109816E+0	1.372220E-1
CoriolisLiq_OD#2_Tsub_F	-4.290825E+1	9.489552E-1	-5.948535E-1	1.176848E-1	4.620016E-3	1.700000E+1	2.109816E+0	1.434056E-1
Blower_Heat_Btu/h	6.302998E+2	1.415203E+1	-2.974104E+0	1.401393E+0	1.455689E+0	1.700000E+1	2.109816E+0	2.545533E+0
Adj_RefSide_Q_Btu/h	5.459412E+4	4.587409E+2	-3.511988E+2	-2.890471E+2	2.391971E+3	1.700000E+1	2.109816E+0	1.031864E+2
COP	-1.275296E+1	8.833528E-2	1.422598E-1	-2.005089E-2	5.240510E-5	1.700000E+1	2.109816E+0	1.527324E-2
SCFM/TON	2.820094E+3	-1.376212E+1	-1.676131E+1	-1.834706E-1	9.696457E-1	1.700000E+1	2.109816E+0	2.077548E+0
ODAir_DT(F)	1.208569E+2	-4.552539E-1	-3.964647E-1	-3.201360E-1	1.914244E-2	1.700000E+1	2.109816E+0	2.919061E-1
LiqLine_DP(psid)	-2.044391E+0	2.093732E-1	-9.031942E-2	-1.969424E-2	8.086838E-4	1.700000E+1	2.109816E+0	5.999760E-2
	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.100000E+1	2.079614E+0	0.000000E+0
